platform,product,comment,score
Temu,Sneakers,Chapsy sxal er ugharkel,1
Amazon,Tools,Very heavy and durable,5
AliExpress,Cables,Es inch vata mi areq,1
Wildberries,Kitchen,Ամեն առավոտ օգտագործում եմ սուպեր է,5
Ozon,Sneakers,Որակը շատ վատն է առաջին օրը պատռվեց,1
Temu,Dress,Շատ սիրուն է նստում վրաս,5
Amazon,Watch,Battery died after 2 days,1
AliExpress,Headphones,Ձայնը շատ մաքուր է գոհ եմ,5
Wildberries,iPhone,Խնդիրներ կան էկրանը լավ չի աշխատում,2
Ozon,Watch,Իրականում ավելի սիրուն է քան նկարում,5
Temu,Dress,Կտորը շատ էժանագին է ու բարակ,1
AliExpress,Headphones,Original ապրանք է շատ արագ հասավ,5
Wildberries,Sneakers,Հոտ է գալիս ու շատ անհարմար է,1
Amazon,Laptop,Էկրանի վրա գծեր կան վատն է,1
Ozon,Power Bank,Հիանալի որակ է հզոր է,5
Temu,Coffee Maker,Ջուրը թափում է տակից սխալ է աշխատում,1
AliExpress,Phone Case,Էժան ու որակով ապրանք է,5
Wildberries,iPhone,Լավագույն գնումս էր գինը համապատասխանում է,5
Amazon,Vacuum,Ձայնը շատ բարձր է ու վատ է քաշում,2
Ozon,Watch,Առաջին օրը կոտրվեց ապակին,1
Temu,Dress,Շատ սիրուն է նստում վրաս գոհ եմ,5
AliExpress,Headphones,Մի կողմը չի աշխատում խաբեություն է,1
Wildberries,Sneakers,Շատ թեթև են ու հարմար որակով,5
Amazon,Laptop,Շատ դանդաղ է աշխատում կախում է,2
Ozon,Power Bank,Սուպեր որակ է արագ է լիցքավորում,5
Temu,Coffee Maker,Դուրս չեկավ շատ թույլ է,2
AliExpress,Phone Case,Սխալ մոդել են ուղարկել հետ եմ տալու,1
Wildberries,iPhone,Անթերի աշխատում է սիրեցի,5
Amazon,Vacuum,Կոտրված էր հասել սարսափելի է,1
Ozon,Watch,Նուրբ դիզայն ունի շնորհակալություն,5
Temu,Dress,Նկարի հետ կապ չունի գույնը տգեղ է,1
AliExpress,Headphones,Գինը շատ լավն է ձայնը նույնպես,5
Wildberries,Sneakers,Որակը շատ վատն է առաջին օրը պատռվեց,1
Amazon,Laptop,Գերազանց սպասարկում ինձ շատ դուր եկավ,5
Ozon,Power Bank,Տաքանում է շատ վտանգավոր է մի գնեք,1
Temu,Coffee Maker,Ամեն առավոտ օգտագործում եմ գոհ եմ,5
AliExpress,Phone Case,Գերազանց է սիրուն դիզայն ունի,5
Wildberries,iPhone,Օգտագործված ապրանք էր ուղարկել,1
Amazon,Vacuum,Ամեն ինչ լավ է արագ հասավ,5
Ozon,Watch,Ժամացույցը հիանալի է նուրբ է,5
Temu,Dress,Կարերը քանդված էին սարսափելի է,1
AliExpress,Headphones,Լավն էր խորհուրդ կտամ բոլորին,5
Wildberries,Sneakers,Գույնը սխալ էր բայց որակը լավն է,4
Amazon,Laptop,Թույն բան է շատ արագ է աշխատում,5
Ozon,Power Bank,Խաբեություն է հզորությունը քիչ է,1
Temu,Coffee Maker,Ապրեք շատ լավն է սիրեցի,5
AliExpress,Phone Case,Էժանագին որակ է մի գնեք,1
Wildberries,iPhone,Խնդիրներ կան էկրանը լավ չի աշխատում,2
Amazon,Vacuum,Առաքումը ուշացավ 3 շաբաթ,1
Ozon,Watch,Գինը շատ հարմար է որակն էլ լավը,5
Temu,Dress,Չափսը ճիշտ էր շատ սիրուն է,5
AliExpress,Headphones,Ձայնը շատ ցածր է դուրս չեկավ,2
Wildberries,Sneakers,Հաստատ առեք որակը շատ լավն է,5
Wildberries,Blender,Shat hzor u lav blender e,5
Ozon,Headphones,Vatna mi koxmy chi ashxatum,1
Temu,Lamp,Shat sirun luys e talis goh em,5
Amazon,Tablet,Screen is flickering after 1 hour,1
AliExpress,Keyboard,Kopkanery kaxum en mi areq,2
Wildberries,Perfume,Hianali hot uni shat erkar e mnum,5
Ozon,Backpack,Որակը սարսափելի է կարերը քանդվեցին,1
Temu,Kitchen,Ամեն ինչ լավ է բայց ուշ հասավ,4
Amazon,Charger,Fast charging works perfectly,5
AliExpress,Mouse,Էժանագին պլաստմասի հոտ է գալիս,2
Wildberries,Jacket,Guyny nkaric mi qich urish e bayc lave,4
Ozon,Vacuum,Հզոր քաշում է փոշեկուլը շատ լավն է,5
Temu,Gadget,Es inch anvorak ban er mi gneq,1
Amazon,Cable,Stopped working after 3 days,1
AliExpress,Case,Շատ սիրուն է ուժեղ պաշտպանում է,5
Wildberries,Boots,Chapsy phoqr er ugharkel djan,2
Ozon,Mixer,Գերազանց աշխատում է մայրիկիս համար առա,5
Temu,Pants,Vatna kshiry chi hamapatasxanum,1
Amazon,Camera,Professional quality for a good price,5
AliExpress,Adapter,Voch mi ban chi bacum xabeutyun e,1
Wildberries,Makeup,Shat goh em original apranq e,5
Ozon,Watch,Battery is very weak only 5 hours,2
Temu,Jewelry,Shat nurb e u klorik goh em,5
Amazon,Monitor,Dead pixels on the screen,1
AliExpress,Tools,Լավ որակ է գործի մեջ փորձեցի,5
Wildberries,Sweater,Ktyory shat vata prchkrtuma,1
Ozon,E-book,Hianali e achqery chi hognacnum,5
Temu,Screwdriver,Sxal ban ein ugharkel dgjoh em,1
Amazon,Router,Easy setup and great range,5
AliExpress,USB,Dandax e ashxatum chi carayum,2
Wildberries,Bedding,Ktyory shat nurb e u vorakov,5
Ozon,Toy,Erexes shat uraxacav vorakov e,5
Temu,Bag,Փողերը քամուն տվեցի մի գնեք,1
Amazon,SSD,Extremely fast highly recommended,5
AliExpress,Converter,Lave bayc mi qich tank er,4
Wildberries,Heater,Shat arag e taqacnum senyaky,5
Ozon,Blender,Kich er ashxatum heto hrdekvec,1
Temu,T-shirt,Shat goh em chapsy chisht er,5
Amazon,Smart Home,Disconnected all the time,1
AliExpress,Brush,Lavn e matcheli u vorakov,5
Wildberries,Shampoo,Մազերս փափկեցրեց շատ լավն է,5
Ozon,Microwave,Սխալ է տաքացնում դուրս չեկավ,2
Temu,Bottle,Ջուրը թափում է տակից վատն է,1
Amazon,Fan,Quiet and powerful love it,5
AliExpress,SD Card,Fake capacity don't buy,1
Wildberries,Mirror,Կոտրված էր հասել սարսափելի է,1
Ozon,Kettle,Արագ է եռացնում ու սիրուն է,5
Temu,Socks,Որակը լավն է բայց գույնը ուրիշ է,4
Amazon,Projector,Blurry image not HD at all,1
AliExpress,Screws,Ամեն ինչ ճիշտ է շնորհակալություն,5
Wildberries,Towel,Shat nurb klorik srbich e,5
Ozon,Knife,Shat sur e u vorakov,5
Temu,Shoes,Vatna votqs koxum e,2
Amazon,Speaker,Best sound for this price,5
AliExpress,Remote,Chi ashxatum pultը phchacac er,1
Wildberries,Hat,Sirun e bayc mi qich mec e,4
Ozon,Iron,Lave bayc jurn e tapum takic,3
Temu,Toy Car,Battery dies in 5 minutes,1
Amazon,Keyboard,Mechanical feel is great,5
AliExpress,Flashlight,Shat paycar e herun cuyc talis,5
Wildberries,Soap,Hianali hot uni srtovs er,5
Ozon,Scale,Sxala cuyc talis qashy,2
Temu,Glasses,Shat vorakov e u matcheli,5
Amazon,Mouse,Double click issue after 1 week,1
AliExpress,Pen,Shat nurb e grum goh em,5
Wildberries,Candle,Hotը shat quylya bayc siruna,4
Ozon,Tent,Որակը շատ լավն է անձրևը չի անցնում,5
Temu,Hooks,Shat tuyl en miangamic ktrvecin,1
Amazon,Drill,Powerful and easy to use,5
AliExpress,Case,Vatna chapsy chi brnum,2
Wildberries,Gloves,Taq en u sirun goh em,5
Ozon,Safe,Shat hուսալի է ու որակով,5
Temu,Brush,Shat vatna mazery tapuma,1
Amazon,Coffee,Best flavor I tried so far,5
AliExpress,Module,Ամեն ինչ աշխատում է սուպեր է,5
Wildberries,Cream,Shat lav xonavecnuma,5
Ozon,Game,Diskը kshrvac er mi areq,1
Temu,Ring,Գույնը շուտ գնաց բայց սիրուն է,3
Amazon,Controller,Original and fast,5
AliExpress,Strip,Lave paycar e varvum,5
Wildberries,Sofa cover,Shat nurb e nstec vran,5
Ozon,Juicer,Vatna lriv kaxuma,2
Temu,Light,Shat sirun e gisherva hamar,5
Amazon,Earbuds,One side stopped working,1
AliExpress,Display,Shat lavna guynery paycar en,5
Wildberries,Curtains,Որակը սուպեր է սենյակը փոխվեց,5
Ozon,Toaster,Վառում է հացը մի գնեք,1
Temu,Mat,Shat phaphuk e u vorakov,5
Amazon,Stand,Very stable and good quality,5
AliExpress,Pump,Արագ փչեց անիվը ապրեք,5
Wildberries,Rug,Shat goh em chapsը chisht er,5
Ozon,Pillow,Shat koshrt e qnel chi lini,2
Temu,E-scooter,Battery is amazing fast,5
Amazon,Webcam,Blurry and slow autofocus,2
AliExpress,Motor,Shat lavna hzor e,5
Wildberries,iPhone,Շատ լավն է սիրուն ու որակով,5
Wildberries,iPhone,Գերազանց որակ է շնորհակալություն,5
Amazon,Vacuum,Արագ առաքում հասավ 3 օրում,5
Amazon,Vacuum,Շատ գոհ եմ սրանից հզոր քաշում է,5
Ozon,Coffee Maker,Ապրեք շատ լավն է խորհուրդ եմ տալիս,5
Ozon,Coffee Maker,Որակը տեղն է իրականում ավելի սիրուն է,5
Temu,Watch,Հիանալի աշխատում է գինը շատ հարմար է,5
Temu,Watch,Լավ փաթեթավորում էր ամեն ինչ սուպեր է,5
AliExpress,Headphones,Original ապրանք է շատ գոհ եմ,5
AliExpress,Headphones,Գինը համապատասխանում է որակին,5
Wildberries,Sneakers,Շատ արագ հասավ ու շատ հարմար է,5
Wildberries,Sneakers,Հաստատ առեք որակը շատ լավն է,5
Amazon,Laptop,Թույն բան է շատ արագ է աշխատում,5
Amazon,Laptop,Գերազանց սպասարկում ինձ շատ դուր եկավ,5
Ozon,Power Bank,Հզոր է լավ է լիցքավորում,5
Ozon,Power Bank,Սիրուն դիզայն ունի ու որակով է,5
Temu,Dress,Չափսը ճիշտ էր շատ սիրուն է,5
Temu,Dress,Նկարից էլ սիրուն է շնորհակալ եմ,5
AliExpress,Phone Case,Էժան ու որակով ապրանք է,5
Wildberries,iPhone,Լավագույն գնումս էր շատ գոհ եմ,5
Wildberries,Vacuum,Կնոջս համար առա շատ հավանեց,5
Amazon,Coffee Maker,Ամեն առավոտ օգտագործում եմ սուպեր է,5
Ozon,Watch,Ժամացույցը հիանալի է նուրբ է,5
Temu,Sneakers,Շատ թեթև են ու որակով,5
AliExpress,Laptop,Անսպասելի լավն էր գոհ եմ,5
Wildberries,Headphones,Ձայնը մաքուր է ու բարձր,5
Amazon,Dress,Կտորը շատ որակյալ է,5
Ozon,Power Bank,Լավ է պահում լիցքը,5
Temu,iPhone,Անթերի աշխատում է,5
AliExpress,Vacuum,Տունը փայլում է սրանից հետո,5
Wildberries,Coffee Maker,Հեշտ է օգտագործվում,5
Amazon,Sneakers,Գույնը հենց այնպիսին է ինչպես նկարում,5
Ozon,Laptop,Ոճային է ու արագ,5
Temu,Headphones,Էժան ու շատ լավ որակի,5
AliExpress,Watch,Լավն էր խորհուրդ կտամ բոլորին,5
Wildberries,Air Fryer,Es inch bomb ban eq uxarkel merci,5
Ozon,Yoga Mat,Vatna mi orum ktrvec ktyory,1
Temu,Smart Bulb,Shat hesht miacav u sirun guynery,5
Amazon,Baby Monitor,Connection is dropping all the time,2
AliExpress,Makeup Brushes,Shat nurb en u vorakov goh em,5
Wildberries,Car Vacuum,Mi hat astxn el shata sran mi areq,1
Ozon,Solar Charger,Lave bayc mi qich dandaxa licqavorum,4
Temu,Humidifier,Shat nurb dizeyn uni u lav ashxatuma,5
Amazon,Hair Dryer,Smells like burning plastic,1
AliExpress,Toothbrush,Hianali maqrum e akanjneris katar e,5
Wildberries,Wallet,Kashin shat vata eshutyun e,1
Ozon,Jacket,Lave taqa u srtovs er,5
Temu,Organizer,Shat ush hasav bayc voraky lava,4
Amazon,Tripod,Broken leg upon arrival cheap plastic,1
AliExpress,Earrings,Shat nurb u sirun en mernem dzer janin,5
Wildberries,T-shirt,Chapsy sxal er ugharkel es inch eq anum,1
Ozon,Blender,Shat hzor e lriv kshrum e,5
Temu,Sandals,Koshrt en u votqs koxum en,2
Amazon,Backpack,So many pockets and waterproof,5
AliExpress,Cables,Stopped working after two uses,1
Wildberries,Washing Gel,Hianali hot uni goh em shat,5
Ozon,Keyboard,Kopkanery kaxum en voch mi ban chi grvum,1
Temu,Night Light,Shat sirun e erexes hianում է,5
Amazon,Smartwatch,Sync issues with iPhone,2
AliExpress,Screw set,Amen inch teghna liqy gorciq ka,5
Wildberries,Pan,Kaxuma takic u mury chi gnum,1
Ozon,Toaster,Shat arag e ashxatum srtovs e,5
Temu,Screwdriver,Vatna miangamic ktrvec cayry,1
Amazon,Headset,Comfortable and great noise cancellation,5
AliExpress,Mousepad,Shat sirun guynery paycar en,5
Wildberries,Curtains,Որակը սուպեր է սենյակը փոխվեց,5
Ozon,Scale,Սխալ է ցույց տալիս քաշը,2
Temu,Massager,Shat hangstacnox e u vorakov,5
Amazon,Camera,Battery dies so fast,2
AliExpress,Watch,Լավն էր խորհուրդ կտամ բոլորին,5
Wildberries,Sneakers,Shat vata es inch eq uxarkel,1
Ozon,Mixer,Գերազանց աշխատում է մայրիկիս համար առա,5
Temu,Phone Stand,Shat tuyl e heraxosը chi pahum,2
Amazon,Speaker,Incredible bass for the size,5
AliExpress,Lens,Shat nurb e nkarում,5
Wildberries,Makeup,Shat goh em original apranq e,5
Ozon,Table,Shat hesht havaqvec u amur e,5
Temu,Pants,Shat barak ktyor e voch mi banov nman chi,1
Amazon,Controller,Feels premium and very responsive,5
AliExpress,Lights,Shat paycar en u arag hasan,5
Wildberries,Boots,Koshrt en u djvar e qaylel,2
Ozon,Printer,Vatna amen angam kaxuma,1
Temu,Hat,Shat sirun e u taq,5
Amazon,Thermostat,Saves me so much on energy bills,5
AliExpress,Microphone,Noise is unbearable,1
Wildberries,Cream,Shat lav xonavecnuma mersi,5
Ozon,Coffee,Hianali ham uni srtovs er,5
Temu,Socks,Shat barak en miangamic patrvvecin,1
Amazon,Tent,Easy to set up and very large,5
AliExpress,Adapter,Works perfectly with my laptop,5
Wildberries,Boots,Chapsը sxal er ugharkel djan,2
Ozon,Scale,Sxala cuyc talis qashy,2
Temu,Glasses,Shat vorakov e u matcheli,5
Amazon,Mouse,Double click issue after 1 week,1
AliExpress,Pen,Shat nurb e grum goh em,5
Wildberries,Candle,Hotը shat quylya bayc siruna,4
Ozon,Tent,Որակը շատ լավն է անձրևը չի անցնում,5
Temu,Hooks,Shat tuyl en miangamic ktrvecin,1
Amazon,Drill,Powerful and easy to use,5
AliExpress,Case,Vatna chapsy chi brnum,2
Wildberries,Gloves,Taq en u sirun goh em,5
Ozon,Safe,Shat hուսալի է ու որակով,5
Temu,Brush,Shat vatna mazery tapuma,1
Amazon,Coffee,Best flavor I tried so far,5
AliExpress,Module,Ամեն ինչ աշխատում է սուպեր է,5
Wildberries,Cream,Shat lav xonavecnuma,5
Ozon,Game,Diskը kshrvac er mi areq,1
Temu,Ring,Գույնը շուտ գնաց բայց սիրուն է,3
Amazon,Controller,Original and fast,5
AliExpress,Strip,Lave paycar e varvum,5
Wildberries,Sofa cover,Shat nurb e nstec vran,5
Ozon,Juicer,Vatna lriv kaxuma,2
Temu,Light,Shat sirun e gisherva hamar,5
Amazon,Earbuds,One side stopped working,1
AliExpress,Display,Shat lavna guynery paycar en,5
Wildberries,Curtains,Որակը սուպեր է սենյակը փոխվեց,5
Ozon,Toaster,Վառում է հացը մի գնեք,1
Wildberries,Laptop,Ան որակ պլաստմասից սարքած խաղալիք է,1
Ozon,Boots,Вообще не то что на фото. Качество ужасное.,1
Temu,Organizer,Shat lava dase dase havaquma amen inch,5
Amazon,Keyboard,The keys are mechanical and feel great.,5
AliExpress,LED Strip,Es inch bomb ban eq uxarkel mersi shat,5
Wildberries,Shampoo,Թափում է մազերը մի օգտագործեք,1
Ozon,Watch,Доставили быстро. Часы выглядят дорого.,5
Temu,T-shirt,Lriv kashia voch mi banov nman chi nkarin,1
Amazon,Headphones,Noise cancellation is top notch.,5
AliExpress,USB Hub,Shat dandaxa ashxatum mi areq,2
Wildberries,Lipstick,Գույնը լրիվ ուրիշ էր ու չորացնում է շուրթերը,2
Ozon,Backpack,Shat amur e u vorakov payusak e,5
Temu,Screwdriver,Vatna miangamic glxiky ktrvec,1
Amazon,Speaker,Connectivity issues with Bluetooth constantly,2
AliExpress,Adapter,Ամեն ինչ աշխատում է սուպեր է,5
Wildberries,Pan,Kaxuma takic u lriv mrotuma,1
Ozon,Coffee,Аромат просто пушка! Советую всем.,5
Temu,Socks,Shat barak en mi orum patrvvecin,1
Amazon,Kindle,Perfect for reading at night. Best purchase.,5
AliExpress,Tools,Shat lav gorciqner en arag hasan,5
Wildberries,Curtains,Որակը սուպեր է սենյակը փոխվեց,5
Ozon,Perfume,Запах не держится и часа. Подделка.,1
Temu,Bag,Փողերը քամուն տվեցի սարսափելի որակ,1
Amazon,SSD,Speed is exactly as advertised.,5
AliExpress,Phone Case,Lave bayc mi qich tank er,4
Wildberries,Vacuum,Ձայնը սարսափելի բարձր է գլուխս տարավ,1
Ozon,Tablet,Экран сочный работает шустро,5
Temu,Dress,Shat goh em chapsը chisht er,5
Amazon,Monitor,Two dead pixels in the center of the screen,1
AliExpress,Brush,Lavn e matcheli u vorakov,5
Wildberries,Smartwatch,Kaxuma u zangerin chi patasxanum,1
Ozon,Sneakers,Original ապրանք է շատ գոհ եմ,5
Temu,Scale,Shat sxala cuyc talis qashը,2
Amazon,Smart Home,Google Home-ի հետ լավ չի աշխատում,2
AliExpress,Light,Shat sirun e gisherva hamar,5
Wildberries,Jacket,Kareը qandvac ein es inch vata,1
Ozon,Mixer,Գերազանց աշխատում է մայրիկիս համար առա,5
Temu,Hat,Shat baraka u chi taqacnum,2
Amazon,Power Bank,Massive capacity can charge my phone 4 times,5
AliExpress,Microphone,Shat vat ձայն է ձայնագրում,1
Wildberries,Heater,Արագ է տաքացնում բայց հոտ է գալիս,3
Ozon,Kettle,Красивый чайник быстро закипает.,5
Temu,Sneakers,Vatna votqs sexmuma,2
Amazon,Laptop,Powerful machine but runs hot,4
AliExpress,Flashlight,Shat paycar e u vorakov,5
Wildberries,Headphones,Մի կողմը չի աշխատում խաբեություն է,1
Ozon,Tools,Shat lav gorciqner en goh em,5
Temu,Toy,Erexes shat uraxacav vorakov e,5
Amazon,Controller,Feels better than the original one.,5
AliExpress,Case,Vatna chapsy chi brnum,2
Wildberries,Dress,Shat sirun e nstec vras goh em,5
Ozon,Smartphone,Lave bayc martkocy tuyla,3
Temu,Necklace,Գույնը շուտ գնաց բայց սիրուն է,3
Amazon,Router,Finally no dead spots in my house.,5
AliExpress,Module,Ամեն ինչ աշխատում է սուպեր է,5
Wildberries,Boots,Chapsը sxal er ugharkel djan,2
Ozon,Scale,Sxala cuyc talis qashy,2
Temu,Glasses,Shat vorakov e u matcheli,5
Amazon,Mouse,Double click issue after 1 week,1
AliExpress,Pen,Shat nուրբ է գրում գոհ եմ,5
Wildberries,Candle,Hotը shat quylya bayc siruna,4
Ozon,Tent,Որակը շատ լավն է անձրևը չի անցնում,5
Temu,Hooks,Shat tuyl en miangamic ktrvecin,1
Amazon,Drill,Powerful and easy to use,5
AliExpress,Case,Vatna chapsy chi brnum,2
Wildberries,Gloves,Taq en u sirun goh em,5
Ozon,Safe,Shat hուսալի է ու որակով,5
Temu,Brush,Shat vatna mazery tapuma,1
Amazon,Coffee,Best flavor I tried so far,5
AliExpress,Module,Ամեն ինչ աշխատում է սուպեր է,5
Wildberries,Cream,Shat lav xonavecnuma,5
Ozon,Game,Diskը kshrvac er mi areq,1
Temu,Ring,Գույնը շուտ գնաց բայց սիրուն է,3
Amazon,Controller,Original and fast,5
AliExpress,Strip,Lave paycar e varvum,5
Wildberries,Sofa cover,Shat nurb e nstec vran,5
Ozon,Juicer,Vatna lriv kaxuma,2
Temu,Light,Shat sirun e gisherva hamar,5
Amazon,Earbuds,One side stopped working,1
AliExpress,Display,Shat lavna guynery paycar en,5
Wildberries,Curtains,Որակը սուպեր է սենյակը փոխվեց,5
Ozon,Toaster,Վառում է հացը մի գնեք,1
Temu,Mat,Shat phaphuk e u vorakov,5
Amazon,Stand,Very stable and good quality,5
AliExpress,Pump,Արագ փչեց անիվը ապրեք,5
Wildberries,Rug,Shat goh em chapsը chisht er,5
Ozon,Pillow,Shat koshrt e qnel chi lini,2
Temu,E-scooter,Battery is amazing fast,5
Amazon,Webcam,Blurry and slow autofocus,2
AliExpress,Motor,Shat lavna hzor e,5
